unidade;ano;mes;setor_centro_custo;paciente_dia
HRAD;2019,0;3,0;UTI;246,0
HRAD;2019,0;3,0;UTI - NEONATAL;271,0
HRAD;2019,0;4,0;ALOJAMENTO CONJUNTO;362,0
HRAD;2019,0;4,0;BLOCO OBSTÉTRICO;27,0
HRAD;2019,0;4,0;OBSERVAÇÃO;724,0
HRAD;2019,0;4,0;UNIDADE INTERNAÇÃO - CIRURGIA GERAL;548,0
HRAD;2019,0;4,0;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;723,0
HRAD;2019,0;4,0;UNIDADE INTERNAÇÃO - CLINICA ORTOPÉDICA;718,0
HRAD;2019,0;4,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;229,0
HRAD;2019,0;4,0;UTI;243,0
HRAD;2019,0;4,0;UTI - NEONATAL;255,0
HRAD;2019,0;5,0;ALOJAMENTO CONJUNTO;416,0
HRAD;2019,0;5,0;BLOCO OBSTÉTRICO;24,0
HRAD;2019,0;5,0;OBSERVAÇÃO;475,0
HRAD;2019,0;5,0;UNIDADE INTERNAÇÃO - CIRURGIA GERAL;633,0
HRAD;2019,0;5,0;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;777,0
HRAD;2019,0;5,0;UNIDADE INTERNAÇÃO - CLINICA ORTOPÉDICA;742,0
HRAD;2019,0;5,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;199,0
HRAD;2019,0;5,0;UTI;238,0
HRAD;2019,0;5,0;UTI - NEONATAL;274,0
HRAD;2019,0;6,0;ALOJAMENTO CONJUNTO;362,0
HRAD;2019,0;6,0;BLOCO OBSTÉTRICO;27,0
HRAD;2019,0;6,0;OBSERVAÇÃO;480,0
HRAD;2019,0;6,0;UNIDADE INTERNAÇÃO - CIRURGIA GERAL;606,0
HRAD;2019,0;6,0;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;749,0
HRAD;2019,0;6,0;UNIDADE INTERNAÇÃO - CLINICA ORTOPÉDICA;699,0
HRAD;2019,0;6,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;204,0
